Time,Throughput
4:00 AM,250
4:10 AM,500
4:20 AM,750
4:30 AM,1080
4:40 AM,1053
4:50 AM,1172
5:00 AM,1046
5:10 AM,1239
5:20 AM,1283
5:30 AM,1169
5:40 AM,1299
5:50 AM,1283
6:00 AM,1241
6:10 AM,760
6:20 AM,257
6:30 AM,100
6:40 AM,320
6:50 AM,505
7:00 AM,1195
7:10 AM,1364
7:20 AM,1580
7:30 AM,1635
7:40 AM,1690
7:50 AM,1609
8:00 AM,1643
8:10 AM,1806
8:20 AM,1321
8:30 AM,740
8:40 AM,100
8:50 AM,418
9:00 AM,1131
9:10 AM,1279
9:20 AM,1514
9:30 AM,2300
9:40 AM,2646
9:50 AM,2419
10:00 AM,2421
10:10 AM,2324
10:20 AM,2346
10:30 AM,2505
10:40 AM,2610
10:50 AM,2414
11:00 AM,5000
11:10 AM,2049
11:20 AM,6000
11:30 AM,2050
11:40 AM,500
11:50 AM,100
12:00 PM,573
12:10 PM,1119
12:20 PM,2361
12:30 PM,2448
12:40 PM,2669
12:50 PM,3082
1:00 PM,3498
1:10 PM,3159
1:20 PM,3398
1:30 PM,3262
1:40 PM,3426
1:50 PM,3303
2:00 PM,3288
2:10 PM,3245
2:20 PM,1697
2:30 PM,798
2:40 PM,100
2:50 PM,481
3:00 PM,1388
3:10 PM,1586
3:20 PM,1670
3:30 PM,1625
,
,
,
,
,
,
,
,
,
,
,
,
